year_month,province,monthly_rainfall_mm
2020-10,Mashonaland East,30.20322555
2020-11,Mashonaland East,74.12333933
2020-12,Mashonaland East,256.3794217
2021-01,Mashonaland East,285.0521825
2021-02,Mashonaland East,157.2945925
2021-03,Mashonaland East,61.44775867
2021-04,Mashonaland East,10.53544059
2021-05,Mashonaland East,7.488428467
2021-06,Mashonaland East,3.631383133
2021-07,Mashonaland East,1.349624787
2021-08,Mashonaland East,2.053901688
2021-09,Mashonaland East,3.226759083
2021-10,Mashonaland East,30.10332258
2021-11,Mashonaland East,88.25143417
2021-12,Mashonaland East,74.63213033
2022-01,Mashonaland East,404.4275883
2022-02,Mashonaland East,49.96497833
2022-03,Mashonaland East,58.00550708
2022-04,Mashonaland East,84.80735017
2022-05,Mashonaland East,3.690453808
2022-06,Mashonaland East,4.082768
2022-07,Mashonaland East,1.346410435
2022-08,Mashonaland East,2.203688915
2022-09,Mashonaland East,3.492182142
2022-10,Mashonaland East,22.77900508
2022-11,Mashonaland East,126.5712497
2022-12,Mashonaland East,145.3578304
2023-01,Mashonaland East,191.8316483
2023-02,Mashonaland East,192.9626408
2023-03,Mashonaland East,87.30215217
2023-04,Mashonaland East,22.30791325
2023-05,Mashonaland East,4.2220344
2023-06,Mashonaland East,2.343246117
2023-07,Mashonaland East,1.287074906
2023-08,Mashonaland East,2.423461625
2023-09,Mashonaland East,4.3578136
2023-10,Mashonaland East,72.0534845
2023-11,Mashonaland East,31.21031208
2023-12,Mashonaland East,219.9049242
2024-01,Mashonaland East,104.6145754
2024-02,Mashonaland East,38.0177325
2024-03,Mashonaland East,22.27033383
2024-04,Mashonaland East,27.35137675
2024-05,Mashonaland East,4.65367395
2024-06,Mashonaland East,4.979224183
2024-07,Mashonaland East,1.241383905
2024-08,Mashonaland East,4.057539245
2024-09,Mashonaland East,3.243848967
2024-10,Mashonaland East,27.063495
2024-11,Mashonaland East,122.8544631
2024-12,Mashonaland East,119.1353217
2025-01,Mashonaland East,231.1033467
2025-02,Mashonaland East,227.5300825
2025-03,Mashonaland East,66.52674
2025-04,Mashonaland East,85.68742908
2025-05,Mashonaland East,6.7744946
2025-06,Mashonaland East,2.46420535
2025-07,Mashonaland East,1.42209918
2025-08,Mashonaland East,2.017604948
2025-09,Mashonaland East,3.516155958
2025-10,Mashonaland East,8.654884425
2025-11,Mashonaland East,123.1070117
2025-12,Mashonaland East,247.2022375
2020-01,Mashonaland West,216.6570143
2020-02,Mashonaland West,180.3783921
2020-03,Mashonaland West,31.75660321
2020-04,Mashonaland West,16.39745729
2020-05,Mashonaland West,3.489848114
2020-06,Mashonaland West,1.266135666
2020-07,Mashonaland West,0.011489593
2020-08,Mashonaland West,0.611882773
2020-09,Mashonaland West,3.058339386
2020-10,Mashonaland West,17.37204524
2020-11,Mashonaland West,65.87041743
2020-12,Mashonaland West,234.3413193
2021-01,Mashonaland West,209.3557929
2021-02,Mashonaland West,137.7626714
2021-03,Mashonaland West,61.924006
2021-04,Mashonaland West,6.714541321
2021-05,Mashonaland West,5.871830586
2021-06,Mashonaland West,1.052560229
2021-07,Mashonaland West,0.011489593
2021-08,Mashonaland West,0.590126201
2021-09,Mashonaland West,1.481181579
2021-10,Mashonaland West,22.32222386
2021-11,Mashonaland West,70.779746
2021-12,Mashonaland West,106.6110229
2022-01,Mashonaland West,349.5880143
2022-02,Mashonaland West,58.13465664
2022-03,Mashonaland West,65.15389557
2022-04,Mashonaland West,52.47859571
2022-05,Mashonaland West,3.025657986
2022-06,Mashonaland West,1.124022349
2022-07,Mashonaland West,0.011489593
2022-08,Mashonaland West,0.564011161
2022-09,Mashonaland West,1.475030411
2022-10,Mashonaland West,16.75760171
2022-11,Mashonaland West,124.5110043
2022-12,Mashonaland West,112.7784151
2023-01,Mashonaland West,241.9184557
2023-02,Mashonaland West,129.0405197
2023-03,Mashonaland West,66.39983943
2023-04,Mashonaland West,9.410573743
2023-05,Mashonaland West,3.009415793
2023-06,Mashonaland West,1.076498764
2023-07,Mashonaland West,0.01110166
2023-08,Mashonaland West,0.59400567
2023-09,Mashonaland West,1.614640293
2023-10,Mashonaland West,71.84575893
2023-11,Mashonaland West,30.21831757
2023-12,Mashonaland West,216.6224157
2024-01,Mashonaland West,123.6982739
2024-02,Mashonaland West,28.581156
2024-03,Mashonaland West,32.21493143
2024-04,Mashonaland West,26.58008
2024-05,Mashonaland West,3.071239171
2024-06,Mashonaland West,1.344078686
2024-07,Mashonaland West,0.011489593
2024-08,Mashonaland West,0.567423226
2024-09,Mashonaland West,1.555677993
2024-10,Mashonaland West,20.472616
2024-11,Mashonaland West,90.59373879
2024-12,Mashonaland West,103.2071056
2025-01,Mashonaland West,195.5652793
2025-02,Mashonaland West,184.6265043
2025-03,Mashonaland West,37.71277879
2025-04,Mashonaland West,47.46071543
2025-05,Mashonaland West,5.075126007
2025-06,Mashonaland West,0.595114245
2025-07,Mashonaland West,0.010183323
2025-08,Mashonaland West,0.562938524
2025-09,Mashonaland West,2.090782164
2025-10,Mashonaland West,10.60099226
2025-11,Mashonaland West,131.4628864
2025-12,Mashonaland West,213.5306736
2020-01,Masvingo,139.006697
2020-02,Masvingo,150.896738
2020-03,Masvingo,11.1486583
2020-04,Masvingo,24.5085512
2020-05,Masvingo,5.81620025
2020-06,Masvingo,5.35043333
2020-07,Masvingo,2.7468819
2020-08,Masvingo,4.62348334
2020-09,Masvingo,10.26205082
2020-10,Masvingo,38.0950301
2020-11,Masvingo,75.7845426
2020-12,Masvingo,278.213257
2021-01,Masvingo,226.354768
2021-02,Masvingo,138.4760514
2021-03,Masvingo,19.9581063
2021-04,Masvingo,7.32928351
2021-05,Masvingo,9.62758887
2021-06,Masvingo,6.62340488
2021-07,Masvingo,2.96141358
2021-08,Masvingo,3.99403209
2021-09,Masvingo,5.14994322
2021-10,Masvingo,19.7526544
2021-11,Masvingo,49.8055536
2021-12,Masvingo,108.4582331
2022-01,Masvingo,167.2332351
2022-02,Masvingo,11.84018095
2022-03,Masvingo,31.7553478
2022-04,Masvingo,61.9456069
2022-05,Masvingo,10.4009153
2022-06,Masvingo,8.34195935
2022-07,Masvingo,3.4209138
2022-08,Masvingo,3.65741384
2022-09,Masvingo,4.85767592
2022-10,Masvingo,24.8953863
2022-11,Masvingo,111.4695976
2022-12,Masvingo,42.6378366
2023-01,Masvingo,69.3225272
2023-02,Masvingo,129.0681065
2023-03,Masvingo,17.253547
2023-04,Masvingo,9.07521345
2023-05,Masvingo,6.69686671
2023-06,Masvingo,4.44025635
2023-07,Masvingo,3.4325901
2023-08,Masvingo,3.93481352
2023-09,Masvingo,9.4119758
2023-10,Masvingo,41.6636645
2023-11,Masvingo,39.2118783
2023-12,Masvingo,214.671225
2024-01,Masvingo,63.4322689
2024-02,Masvingo,17.6945195
2024-03,Masvingo,24.8914248
2024-04,Masvingo,15.3804547
2024-05,Masvingo,6.01808942
2024-06,Masvingo,10.7958219
2024-07,Masvingo,2.29343335
2024-08,Masvingo,4.54836327
2024-09,Masvingo,6.1884712
2024-10,Masvingo,17.0298393
2024-11,Masvingo,94.3336525
2024-12,Masvingo,128.0652994
2025-01,Masvingo,252.997258
2025-02,Masvingo,186.149775
2025-03,Masvingo,33.0893796
2025-04,Masvingo,32.920303
2025-05,Masvingo,5.00242908
2025-06,Masvingo,3.6107188
2025-07,Masvingo,3.17693513
2025-08,Masvingo,4.37653581
2025-09,Masvingo,4.52349712
2025-10,Masvingo,16.60186835
2025-11,Masvingo,152.823909
2025-12,Masvingo,191.748221
2020-01,Matabeleland North,181.033357
2020-02,Matabeleland North,163.845114
2020-03,Matabeleland North,59.434639
2020-04,Matabeleland North,16.62187313
2020-05,Matabeleland North,2.71952701
2020-06,Matabeleland North,0.851013295
2020-07,Matabeleland North,0.001539218
2020-08,Matabeleland North,0.141910558
2020-09,Matabeleland North,3.43614655
2020-10,Matabeleland North,16.5078016
2020-11,Matabeleland North,63.0801914
2020-12,Matabeleland North,249.321198
2021-01,Matabeleland North,191.262686
2021-02,Matabeleland North,90.8176884
2021-03,Matabeleland North,24.5299529
2021-04,Matabeleland North,7.93965478
2021-05,Matabeleland North,2.78938061
2021-06,Matabeleland North,0.896106154
2021-07,Matabeleland North,0.00205229
2021-08,Matabeleland North,0.139851437
2021-09,Matabeleland North,1.76893778
2021-10,Matabeleland North,9.85999237
2021-11,Matabeleland North,34.4520975
2021-12,Matabeleland North,130.16563
2022-01,Matabeleland North,226.866463
2022-02,Matabeleland North,40.9036415
2022-03,Matabeleland North,69.7723267
2022-04,Matabeleland North,28.4640494
2022-05,Matabeleland North,2.7664108
2022-06,Matabeleland North,0.851246787
2022-07,Matabeleland North,0.00205229
